"Word,""nblettres"""
"abandonnerai,""12"""
"abandonneras,""12"""
"abandonnerez,""12"""
"abandonneurs,""12"""
"abandonnions,""12"""
"abandonnique,""12"""
"abandonnames,""12"""
"abolissaient,""12"""
"abominations,""12"""
"aborderaient,""12"""
"abouchements,""12"""
"aboutiraient,""12"""
"aboutissants,""12"""
"aboutissions,""12"""
"abrutissante,""12"""
"abrutissants,""12"""
"abrutissions,""12"""
"abreviations,""12"""
"abstiendrais,""12"""
"abstiendrait,""12"""
"abstiendrons,""12"""
"abstiendront,""12"""
"abstractions,""12"""
"abyssinienne,""12"""
"abetissement,""12"""
"academiciens,""12"""
"accablements,""12"""
"accaparaient,""12"""
"accaparerait,""12"""
"accastillage,""12"""
"accentuaient,""12"""
"accentuation,""12"""
"accentuerait,""12"""
"accentuerent,""12"""
"acceptassent,""12"""
"acceptations,""12"""
"accepterions,""12"""
"accessoirise,""12"""
"accidentelle,""12"""
"acclamations,""12"""
"accointances,""12"""
"accommodante,""12"""
"accommodants,""12"""
"accommoderai,""12"""
"accommoderez,""12"""
"accommodions,""12"""
"accompagnais,""12"""
"accompagnait,""12"""
"accompagnant,""12"""
"accompagnent,""12"""
"accompagnera,""12"""
"accompagniez,""12"""
"accompagnons,""12"""
"accompagnees,""12"""
"accomplirais,""12"""
"accomplirait,""12"""
"accomplirent,""12"""
"accomplirons,""12"""
"accompliront,""12"""
"accomplissez,""12"""
"accordailles,""12"""
"accordassent,""12"""
"accouchaient,""12"""
"accouchement,""12"""
"accoucherait,""12"""
"accouplaient,""12"""
"accouplement,""12"""
"accouplerait,""12"""
"accoupleront,""12"""
"accouplerent,""12"""
"accourraient,""12"""
"accourussent,""12"""
"accoutrement,""12"""
"accoutumance,""12"""
"accrochaient,""12"""
"accrocherais,""12"""
"accrocherait,""12"""
"accrocheriez,""12"""
"accrocheront,""12"""
"accrocheuses,""12"""
"accrocherent,""12"""
"accroupirent,""12"""
"accueillante,""12"""
"accueillants,""12"""
"accueillerai,""12"""
"accueilleras,""12"""
"accueillerez,""12"""
"acculeraient,""12"""
"accumulaient,""12"""
"accumulateur,""12"""
"accumulation,""12"""
"accumulerent,""12"""
"accusatrices,""12"""
"accuseraient,""12"""
"accederaient,""12"""
"acceleraient,""12"""
"accelerateur,""12"""
"acceleration,""12"""
"accelererait,""12"""
"accelererent,""12"""
"acharnements,""12"""
"acheminaient,""12"""
"acheminement,""12"""
"achemineront,""12"""
"acheminerent,""12"""
"acheteraient,""12"""
"acheveraient,""12"""
"acquerraient,""12"""
"acquisitions,""12"""
"acquittaient,""12"""
"acquittement,""12"""
"acquitterais,""12"""
"acquitterait,""12"""
"acrimonieuse,""12"""
"acrobatiques,""12"""
"actionnaient,""12"""
"actionnaires,""12"""
"actionnariat,""12"""
"actionnement,""12"""
"actionneront,""12"""
"actuellement,""12"""
"adaptabilite,""12"""
"additionnais,""12"""
"additionnait,""12"""
"additionnant,""12"""
"additionnels,""12"""
"additionnent,""12"""
"additionnees,""12"""
"adjudication,""12"""
"admettraient,""12"""
"administrais,""12"""
"administrait,""12"""
"administrant,""12"""
"administrent,""12"""
"administrera,""12"""
"administrees,""12"""
"admiratrices,""12"""
"adolescences,""12"""
"adolescentes,""12"""
"adopteraient,""12"""
"adorablement,""12"""
"adoucisseurs,""12"""
"adressassent,""12"""
"adulteraient,""12"""
"adulteration,""12"""
"adequatement,""12"""
"affabulation,""12"""
"affaiblissez,""12"""
"affairements,""12"""
"affaissaient,""12"""
"affaissement,""12"""
"affaisserait,""12"""
"affaisserent,""12"""
"affectassent,""12"""
"affectations,""12"""
"affectionner,""12"""
"affectionnez,""12"""
"affectionnee,""12"""
"affectionnes,""12"""
"affectueuses,""12"""
"affermissait,""12"""
"affermissant,""12"""
"affermissent,""12"""
"affiliations,""12"""
"affirmations,""12"""
"affleuraient,""12"""
"affleurement,""12"""
"affleurerent,""12"""
"affligeaient,""12"""
"affligeantes,""12"""
"afflueraient,""12"""
"affranchisse,""12"""
"affreusement,""12"""
"affriolantes,""12"""
"affriolerait,""12"""
"affrontaient,""12"""
"affrontement,""12"""
"affronterais,""12"""
"affronterait,""12"""
"affronterons,""12"""
"affronteront,""12"""
"affronterent,""12"""
"agenouillais,""12"""
"agenouillait,""12"""
"agenouillant,""12"""
"agenouillent,""12"""
"agenouillera,""12"""
"agenouillons,""12"""
"agenouillees,""12"""
"agglutinatif,""12"""
"agrandissait,""12"""
"agrandissant,""12"""
"agrandissent,""12"""
"agrandisseur,""12"""
"agrandissons,""12"""
"agressivites,""12"""
"agriculteurs,""12"""
"agricultrice,""12"""
"agreablement,""12"""
"aguerrissait,""12"""
"ahurissantes,""12"""
"ahurissement,""12"""
"aigrissaient,""12"""
"aiguillettes,""12"""
"aiguillonner,""12"""
"aiguillonnee,""12"""
"aiguillonnes,""12"""
"ajournements,""12"""
"ajouteraient,""12"""
"alanguissait,""12"""
"alanguissant,""12"""
"alanguissent,""12"""
"alarmeraient,""12"""
"alenconnaise,""12"""
"alexandrines,""12"""
"aligneraient,""12"""
"alimentaient,""12"""
"alimentaires,""12"""
"alimentation,""12"""
"alimenterent,""12"""
"allergologie,""12"""
"allergologue,""12"""
"alliteration,""12"""
"allobarbital,""12"""
"allocataires,""12"""
"allongeaient,""12"""
"allosterique,""12"""
"allumeraient,""12"""
"allusivement,""12"""
"allegoriques,""12"""
"alourdissait,""12"""
"alourdissant,""12"""
"alourdissent,""12"""
"alphabetique,""12"""
"alphabetiser,""12"""
"altercations,""12"""
"alternatives,""12"""
"amaigrissait,""12"""
"amaigrissant,""12"""
"amalgamaient,""12"""
"amazoniennes,""12"""
"ambassadeurs,""12"""
"ambassadrice,""12"""
"ambitionnais,""12"""
"ambitionnait,""12"""
"ambitionnant,""12"""
"ambitionnent,""12"""
"ambivalences,""12"""
"ambulanciers,""12"""
"ambulanciere,""12"""
"amenuisaient,""12"""
"amenuisement,""12"""
"amenuiserait,""12"""
"amenuiserent,""12"""
"ameublements,""12"""
"amidonnaient,""12"""
"amincissante,""12"""
"amincissants,""12"""
"ammoniacales,""12"""
"ammoniaquees,""12"""
"amniocentese,""12"""
"amnistierons,""12"""
"amoncelaient,""12"""
"amoncelerent,""12"""
"amortisseurs,""12"""
"amphitheatre,""12"""
"amphetamines,""12"""
"amplifiaient,""12"""
"amplifierais,""12"""
"amplifierent,""12"""
"amelioraient,""12"""
"ameliorateur,""12"""
"amelioration,""12"""
"ameliorerait,""12"""
"amelioreront,""12"""
"ameliorerent,""12"""
"amenageaient,""12"""
"amenagements,""12"""
"americaniser,""12"""
"americanisme,""12"""
"americanises,""12"""
"amerindienne,""12"""
"anabaptistes,""12"""
"anabolisants,""12"""
"anachronique,""12"""
"anachronisme,""12"""
"analeptiques,""12"""
"analgesiques,""12"""
"analphabetes,""12"""
"anathematise,""12"""
"ancestralite,""12"""
"anciennement,""12"""
"andouillette,""12"""
"androgynique,""12"""
"anecdotiques,""12"""
"anesthesiait,""12"""
"anesthesiant,""12"""
"anesthesient,""12"""
"anesthesions,""12"""
"anesthesique,""12"""
"anesthesiste,""12"""
"anesthesiees,""12"""
"angiocholite,""12"""
"angiographie,""12"""
"angioplastie,""12"""
"angoissaient,""12"""
"angoissantes,""12"""
"angoisserait,""12"""
"annihilateur,""12"""
"annihilation,""12"""
"anniversaire,""12"""
"annonciateur,""12"""
"annonciation,""12"""
"annuellement,""12"""
"annuleraient,""12"""
"anoblissante,""12"""
"anormalement,""12"""
"antagonismes,""12"""
"antagonistes,""12"""
"antarctiques,""12"""
"anthropiques,""12"""
"anthropoedes,""12"""
"antiatomique,""12"""
"antiaerienne,""12"""
"antibiotique,""12"""
"anticalcaire,""12"""
"antichambres,""12"""
"antichretien,""12"""
"anticipateur,""12"""
"anticipation,""12"""
"anticiperait,""12"""
"anticlerical,""12"""
"anticyclique,""12"""
"antiderapant,""12"""
"antifascisme,""12"""
"antifasciste,""12"""
"antifongique,""12"""
"antimarxiste,""12"""
"antimissiles,""12"""
"antinomiques,""12"""
"antioxydants,""12"""
"antiparasite,""12"""
"antipathique,""12"""
"antipatriote,""12"""
"antipodistes,""12"""
"antiprotease,""12"""
"antiquailles,""12"""
"antiracistes,""12"""
"antiseptique,""12"""
"antisexistes,""12"""
"antisociales,""12"""
"antisolaires,""12"""
"antistatique,""12"""
"antitussives,""12"""
"antivenimeux,""12"""
"antiviolence,""12"""
"antiemetique,""12"""
"antediluvien,""12"""
"anxieusement,""12"""
"anxiolytique,""12"""
"aneantissait,""12"""
"aneantissant,""12"""
"aneantissent,""12"""
"aneantissons,""12"""
"apaiseraient,""12"""
"aperceptions,""12"""
"apercevaient,""12"""
"aphanipteres,""12"""
"apologetique,""12"""
"apoplectique,""12"""
"apostoliques,""12"""
"apostrophait,""12"""
"apostrophant,""12"""
"apostrophent,""12"""
"apothicaires,""12"""
"apparaissais,""12"""
"apparaissait,""12"""
"apparaissant,""12"""
"apparaissent,""12"""
"apparaissiez,""12"""
"apparaissons,""12"""
"apparatchiks,""12"""
"apparaitrais,""12"""
"apparaitrait,""12"""
"apparaitrons,""12"""
"apparaitront,""12"""
"appareillage,""12"""
"appareillait,""12"""
"appareillant,""12"""
"appareillent,""12"""
"appareillons,""12"""
"appartements,""12"""
"appartenance,""12"""
"appartenions,""12"""
"appartiendra,""12"""
"appauvrissez,""12"""
"appellations,""12"""
"appellerions,""12"""
"applaudirais,""12"""
"applaudirait,""12"""
"applaudirent,""12"""
"applaudirons,""12"""
"applaudissez,""12"""
"applications,""12"""
"appliquaient,""12"""
"appliquerais,""12"""
"appliquerait,""12"""
"appliquerons,""12"""
"appliquerent,""12"""
"appoggiature,""12"""
"appointaient,""12"""
"apprendrions,""12"""
"apprivoisais,""12"""
"apprivoisait,""12"""
"apprivoisant,""12"""
"apprivoisent,""12"""
"apprivoiseur,""12"""
"apprivoisons,""12"""
"apprivoisees,""12"""
"approbateurs,""12"""
"approbations,""12"""
"approbatrice,""12"""
"approchaient,""12"""
"approcherais,""12"""
"approcherait,""12"""
"approcherons,""12"""
"approcheront,""12"""
"approcherent,""12"""
"approfondies,""12"""
"approuvaient,""12"""
"approuverais,""12"""
"approuverait,""12"""
"approuverons,""12"""
"approuveront,""12"""
"approuverent,""12"""
"approximatif,""12"""
"appreciables,""12"""
"appreciaient,""12"""
"appreciateur,""12"""
"appreciation,""12"""
"apprecierais,""12"""
"apprecierait,""12"""
"apprecieriez,""12"""
"apprecierons,""12"""
"apprecieront,""12"""
"apprecierent,""12"""
"apprehendais,""12"""
"apprehendait,""12"""
"apprehendant,""12"""
"apprehendent,""12"""
"apprehendera,""12"""
"apprehendons,""12"""
"apprehendees,""12"""
"apprehension,""12"""
"appuieraient,""12"""
"appetissante,""12"""
"appetissants,""12"""
"aquarelliste,""12"""
"arachneennes,""12"""
"arbaletriers,""12"""
"arborescence,""12"""
"arborescents,""12"""
"archicombles,""12"""
"archidiocese,""12"""
"architecture,""12"""
"archeologues,""12"""
"archeopteryx,""12"""
"argentiferes,""12"""
"argougnasses,""12"""
"argumentaire,""12"""
"argumentatif,""12"""
"argumenterai,""12"""
"aristocrates,""12"""
"aristocratie,""12"""
"aristoloches,""12"""
"arithmometre,""12"""
"arithmetique,""12"""
"arquebusiers,""12"""
"arrachements,""12"""
"arraisonnees,""12"""
"arrangeaient,""12"""
"arrangeantes,""12"""
"arrangements,""12"""
"arrangerions,""12"""
"arrestations,""12"""
"arriveraient,""12"""
"arrondissait,""12"""
"arrondissant,""12"""
"arrondissent,""12"""
"arrondissons,""12"""
"arreteraient,""12"""
"arthritiques,""12"""
"arthropathie,""12"""
"arthroscopie,""12"""
"articulaient,""12"""
"articulaires,""12"""
"articulation,""12"""
"artificielle,""12"""
"artificieuse,""12"""
"ascensionnel,""12"""
"ascensionner,""12"""
"aseptisation,""12"""
"asociabilite,""12"""
"aspergeaient,""12"""
"aspergillose,""12"""
"asphyxiaient,""12"""
"aspireraient,""12"""
"assaillaient,""12"""
"assaillirent,""12"""
"assaisonnait,""12"""
"assaisonnees,""12"""
"assassinerai,""12"""
"assassinerez,""12"""
"assemblaient,""12"""
"assentiments,""12"""
"asservissait,""12"""
"asservissant,""12"""
"asservissent,""12"""
"assignations,""12"""
"assimilables,""12"""
"assimilaient,""12"""
"assimilation,""12"""
"assimilerait,""12"""
"assimilerent,""12"""
"assiegeaient,""12"""
"assiegeantes,""12"""
"associassent,""12"""
"associations,""12"""
"assombrirent,""12"""
"assortiments,""12"""
"assortissais,""12"""
"assortissait,""12"""
"assortissant,""12"""
"assortissent,""12"""
"assoupissais,""12"""
"assoupissait,""12"""
"assoupissant,""12"""
"assoupissent,""12"""
"assourdirent,""12"""
"assouvissait,""12"""
"assouvissant,""12"""
"assouvissent,""12"""
"assujettisse,""12"""
"assumeraient,""12"""
"assureraient,""12"""
"asthmatiques,""12"""
"asticotaient,""12"""
"astigmatisme,""12"""
"astreignante,""12"""
"astreignions,""12"""
"astringentes,""12"""
"astrologique,""12"""
"astronomique,""12"""
"asymetriques,""12"""
"atermoiement,""12"""
"attachements,""12"""
"attacherions,""12"""
"attaquerions,""12"""
"atteignaient,""12"""
"atteignirent,""12"""
"attendissent,""12"""
"attendraient,""12"""
"attendrirait,""12"""
"attendrirent,""12"""
"attentatoire,""12"""
"attentionnee,""12"""
"attentionnes,""12"""
"atterrissage,""12"""
"atterrissais,""12"""
"atterrissait,""12"""
"atterrissant,""12"""
"atterrissent,""12"""
"atterrissons,""12"""
"attestations,""12"""
"attireraient,""12"""
"attiedissait,""12"""
"attouchement,""12"""
"attribuaient,""12"""
"attribuerais,""12"""
"attribuerait,""12"""
"attribueront,""12"""
"attributions,""12"""
"attribuerent,""12"""
"attriquerait,""12"""
"attristaient,""12"""
"attristantes,""12"""
"attristerait,""12"""
"attristerent,""12"""
"attroupaient,""12"""
"attroupement,""12"""
"attrouperent,""12"""
"attenuations,""12"""
"auditionnais,""12"""
"auditionnent,""12"""
"auditionnera,""12"""
"augmentaient,""12"""
"augmentation,""12"""
"augmenterais,""12"""
"augmenterait,""12"""
"augmenteront,""12"""
"augmenterent,""12"""
"auriculaires,""12"""
"auscultation,""12"""
"australienne,""12"""
"authenticite,""12"""
"authentifier,""12"""
"authentifiez,""12"""
"authentifiee,""12"""
"authentifies,""12"""
"authentiques,""12"""
"autobronzant,""12"""
"autocensurer,""12"""
"autochenille,""12"""
"autocollante,""12"""
"autocollants,""12"""
"autocratique,""12"""
"autocritique,""12"""
"autocreation,""12"""
"autodidactes,""12"""
"autoderision,""12"""
"autodetruira,""12"""
"autodetruire,""12"""
"autodetruite,""12"""
"autographier,""12"""
"automatiques,""12"""
"automatismes,""12"""
"automatisees,""12"""
"autonomistes,""12"""
"autoportrait,""12"""
"autoproclame,""12"""
"autopropulse,""12"""
"autopunition,""12"""
"autorisaient,""12"""
"autorisation,""12"""
"autoriserais,""12"""
"autoriserait,""12"""
"autoriserons,""12"""
"autoriseront,""12"""
"autoriserent,""12"""
"autoritaires,""12"""
"autoroutiers,""12"""
"autoroutiere,""12"""
"autoerotique,""12"""
"autrichienne,""12"""
"avantageuses,""12"""
"aventuraient,""12"""
"aventurerais,""12"""
"aventurerait,""12"""
"aventureuses,""12"""
"aventurieres,""12"""
"aventurerent,""12"""
"avertisseurs,""12"""
"aveuglements,""12"""
"aveulissante,""12"""
"avignonnaise,""12"""
"avilissantes,""12"""
"avilissement,""12"""
"avocasseries,""12"""
"avoisinaient,""12"""
"avoisinantes,""12"""
"avoisinerait,""12"""
"ayuntamiento,""12"""
"aeroglisseur,""12"""
"aeronautique,""12"""
"aerospatiale,""12"""
"babylonienne,""12"""
"baccalaureat,""12"""
"bactericides,""12"""
"bacteriennes,""12"""
"badigeonnage,""12"""
"badigeonnait,""12"""
"badigeonnant,""12"""
"badigeonneur,""12"""
"badigeonnees,""12"""
"bafouillages,""12"""
"bafouillante,""12"""
"baguenaudais,""12"""
"baguenaudait,""12"""
"baguenaudant,""12"""
"baguenaudent,""12"""
"baigneraient,""12"""
"baisseraient,""12"""
"balaieraient,""12"""
"balancements,""12"""
"balanstiquer,""12"""
"balayeraient,""12"""
"balbutiaient,""12"""
"balbutiantes,""12"""
"balbutiement,""12"""
"balbutierent,""12"""
"baliseraient,""12"""
"ballonnaient,""12"""
"ballonnement,""12"""
"ballottaient,""12"""
"ballottement,""12"""
"ballotterent,""12"""
"baluchonnage,""12"""
"baluchonnent,""12"""
"baluchonneur,""12"""
"balzaciennes,""12"""
"banalisation,""12"""
"banderillero,""12"""
"banlieusarde,""12"""
"banlieusards,""12"""
"bannissaient,""12"""
"bannissement,""12"""
"banqueroutes,""12"""
"baragouinage,""12"""
"baragouinait,""12"""
"baragouinant,""12"""
"baragouinent,""12"""
"baragouineur,""12"""
"baraquements,""12"""
"barbaresques,""12"""
"barbiturique,""12"""
"barbouillage,""12"""
"barbouillais,""12"""
"barbouillait,""12"""
"barbouillant,""12"""
"barbouillent,""12"""
"barbouilleur,""12"""
"barbouillees,""12"""
"barometrique,""12"""
"barrissement,""12"""
"basketteuses,""12"""
"batailleuses,""12"""
"bataillerent,""12"""
"batifolaient,""12"""
"baudelairien,""12"""
"beauceronnes,""12"""
"becquetaient,""12"""
"beethovenien,""12"""
"behavioriste,""12"""
"bellevillois,""12"""
"belligerance,""12"""
"belligerante,""12"""
"belligerants,""12"""
"belliqueuses,""12"""
"benzonaphtol,""12"""
"bergamasques,""12"""
"bestialement,""12"""
"biberonneurs,""12"""
"bibliographe,""12"""
"bibliophiles,""12"""
"bibliophilie,""12"""
"bibliotheque,""12"""
"bibliquement,""12"""
"bicarbonates,""12"""
"bicentenaire,""12"""
"biculturelle,""12"""
"bidouillerai,""12"""
"bienfaisance,""12"""
"bienfaisante,""12"""
"bienfaisants,""12"""
"bienfaiteurs,""12"""
"bienfaitrice,""12"""
"bienheureuse,""12"""
"bienveillant,""12"""
"bifurcations,""12"""
"bifurqueront,""12"""
"billetteries,""12"""
"bimbeloterie,""12"""
"bimensuelles,""12"""
"bimetallisme,""12"""
"biochimiques,""12"""
"biochimistes,""12"""
"biodiversite,""12"""
"biographique,""12"""
"biogenetique,""12"""
"biomecanique,""12"""
"biomecanisme,""12"""
"biometriques,""12"""
"biotechnique,""12"""
"biquotidiens,""12"""
"bisannuelles,""12"""
"bistouquette,""12"""
"bistrotieres,""12"""
"blanchiments,""12"""
"blanchissage,""12"""
"blanchissait,""12"""
"blanchissant,""12"""
"blanchissent,""12"""
"blanchisseur,""12"""
"blennorragie,""12"""
"blesseraient,""12"""
"bleuissaient,""12"""
"bleuissantes,""12"""
"blottissions,""12"""
"bodybuilding,""12"""
"boitillement,""12"""
"bolcheviques,""12"""
"bolchevistes,""12"""
"bombardaient,""12"""
"bombardement,""12"""
"bombarderais,""12"""
"bombarderait,""12"""
"bombarderons,""12"""
"bombarderont,""12"""
"bombarderent,""12"""
"bombillement,""12"""
"bonapartiste,""12"""
"bonbonnieres,""12"""
"bondieuserie,""12"""
"bondissaient,""12"""
"bondissantes,""12"""
"bondissement,""12"""
"bonification,""12"""
"bonimenteurs,""12"""
"borgnotaient,""12"""
"bossellement,""12"""
"boucheraient,""12"""
"bouchonneras,""12"""
"boucleraient,""12"""
"boufferaient,""12"""
"bouffissures,""12"""
"bouffonnante,""12"""
"bouffonnerie,""12"""
"bougonnaient,""12"""
